id_karte,supertype
74545,
74635,
74595,
74661,
74878,
74570,
75078,
74831,
74592,Legendary
75011,
74608,
75009,
74816,
74848,
73921,Legendary
74665,Legendary
74631,
74657,Legendary
75079,
75062,
75093,
74833,
74682,
75109,
74544,
74633,
74638,
74231,
74530,
74818,
74840,
74908,
74856,Legendary
74949,
74300,
74950,
74871,
73911,Legendary
75019,
74642,
74874,
75086,Legendary
73874,Legendary
74966,
74812,
74982,Legendary
74931,
74898,
73873,Legendary
74652,Legendary
75054,
74586,
75074,
74609,
75107,
73871,Legendary
74526,Legendary
74655,Legendary
75059,
74948,
74843,Legendary
74851,
75081,
74616,
74814,
75101,
74677,
74668,
74893,
74662,
74637,
74847,Legendary
74821,
74630,
74870,
74684,
74827,
74303,
74973,
75103,
74907,
74841,
74863,Legendary
74890,
74858,
74659,
74583,
74887,
74932,
74839,
73872,Legendary
74558,
74687,
74641,
74923,
74915,
18599,
18654,
18638,
18606,
18596,
18620,
18609,
18669,
18673,
18600,
18646,
18632,
18639,
18645,
18612,
18648,
18613,
18635,
18614,
18621,
18655,
18649,
18666,
18658,
18659,
18616,
18644,
18615,
18623,
18664,
18611,
18637,
18647,
18622,
18641,
18667,
18674,
18650,
18656,
18662,
18602,
18618,
18629,
18675,
18595,
18601,
18605,
18660,
18597,
18627,
18634,
18640,
18594,
18643,
18607,
18610,
18671,
18672,
18626,
18651,
18657,
18661,
18603,
18628,
18636,
18653,
18604,
18630,
18665,
18598,
18625,
18608,
18619,
18631,
18668,
18670,
18617,
18652,
18700,
18702,World
18684,
18692,
18729,
18745,Legendary
18707,Legendary
18699,Legendary
18708,
18682,
18695,
18681,Legendary
18790,Legendary
18799,Legendary
18679,
22112,
22101,
18747,Legendary
18756,World
22111,
22102,
28053,
18734,
22109,
22104,
22108,
22105,
22106,
22110,
18775,
18739,World
18762,
18757,Legendary
22107,
18759,
18680,
18777,
18713,
18753,
18766,Legendary
18686,Legendary
18744,Legendary
18772,
18705,
18720,Legendary
18733,
20481,
18736,
18761,
18735,Legendary
18770,
18678,
18714,
18748,
18752,
18767,Legendary
18715,
18721,
18768,
18791,
18676,
18687,Legendary
18690,
18697,
18704,
18730,
18793,
18800,
18746,
18798,
18685,
18769,
18724,
18764,
18797,
18688,
18693,
18696,
18751,
18763,
18765,Legendary
18691,
18701,
18738,Legendary
18741,Legendary
18742,
18749,
18771,
18794,
18703,
18719,
18773,Legendary
18774,Legendary
18796,
18689,
18698,
18712,
18726,
18728,
18754,
18758,
18760,
18677,
18716,
18718,
18732,
18795,
18694,
18710,
18717,
18725,
18731,
18740,
18743,
18750,
18727,
18755,
18776,
18723,
18683,
18737,
18792,
18706,
18711,
19960,
18903,
18917,
18846,
18941,Legendary
18925,
19047,
18860,
18932,
18819,
19033,
18818,
19010,
18950,
18812,Legendary
18862,Legendary
18949,
18841,
19007,Legendary
18994,
18853,
18909,Legendary
18964,
18808,
19054,Legendary
18990,
18811,
18928,
18886,
19009,Legendary
19005,
19059,Legendary
19092,
19095,Legendary
19045,
18958,
18953,
19032,Legendary
18910,Legendary
18983,
18931,
18877,
18959,
18883,Legendary
18802,
18836,
19062,
18911,
18879,
18942,Legendary
18822,
18872,
18847,
18895,
19073,
18976,
19056,Legendary
18820,
18823,
18829,Legendary
18963,
18824,
19000,
19087,
18929,
19016,
18944,
18973,Legendary
18933,Legendary
18915,
19001,
18881,
19021,
19023,
18898,
19091,
19036,
18833,
19037,
18832,Legendary
18810,
18926,
19041,
18882,
18955,
19025,
18809,
18889,
18989,
19012,
19097,Legendary
18807,Legendary
18874,
18927,
19080,Legendary
19077,
18939,
18844,
18937,
19015,
19052,
18837,
18870,
18856,
18861,
19072,Legendary
18971,Legendary
18815,
18996,
19050,
19058,
18817,
18855,
18893,
18956,
18974,
19093,
19057,
18919,
18954,Legendary
18979,Legendary
18952,
18840,Legendary
18891,
18965,
19074,
18982,
18838,
18897,
18805,
19069,
19078,
18899,
18842,
18864,
18904,
19053,Legendary
18957,
19030,
19039,
19075,
18806,
19028,
18986,
19060,
18905,
18940,
18845,
18923,
18984,Legendary
19040,
19046,
19026,
18821,
18865,
19006,
18885,
18912,
19027,
19065,
19088,
18947,
18962,
18980,
18997,
19014,
19024,
19090,
18924,
18970,Legendary
18868,
18907,
18921,
18930,
18948,
18951,
18995,
19004,
19071,
19084,
18814,
18826,
18871,
18988,
18992,
19034,
19068,
19086,
18839,
18850,
18875,
18906,
18975,
18993,
19020,
19043,
19061,
19066,
19079,
18878,
18934,
18936,
22137,
18967,
18987,
19031,
19067,
19085,
18873,
18977,
19048,
19051,
18945,
18863,
18888,
18894,
19003,
19013,
19017,
19083,
19096,
18813,
19042,
19044,
19081,
18843,
18852,
18961,
18966,
19011,
19064,
18803,
18831,
18848,
18851,
18922,
19169,
19128,
19143,
19281,
19182,
19221,
19152,
19234,
19163,
19212,
19159,
19247,
19114,
19283,
19166,
19245,
19258,
19109,
19139,
19193,
19138,
19233,
19144,
19200,
19148,
19257,
19145,
19104,
19183,
19188,
19175,
19165,
19225,
19102,
19151,
19238,
19278,
19263,
19171,
19178,
19202,
19195,
19120,
19196,
19265,
19201,
19142,
19162,
19231,Legendary
19107,Legendary
19192,
19158,
19208,
19140,
19125,
19126,
19199,
19180,
19101,
19112,
19260,
19279,
19105,
19286,
19288,
19167,
19229,
19198,
19244,
19284,
19250,
19132,
19181,
19219,
19222,
19252,
19277,
19118,
19236,
19237,Legendary
19136,
19103,
19115,
19146,
19154,
19174,
19211,
19214,
19255,
19108,
19173,
19241,
19249,
19261,
19268,
19122,Legendary
19141,
19216,
19232,
19254,
19119,
19130,
19137,
19160,
19213,
19226,
19276,
19124,
19220,
19235,
19242,
19246,
19264,
19289,
19186,
19121,
19147,
19156,
19106,
19123,
19203,
19215,
19251,
19111,
19176,
19227,
19129,
19170,
19155,
19239,
19127,
19116,
19117,
19133,
19135,
19150,
19189,
19287,
19113,
19228,
19190,
75123,
75131,
75151,
75128,
75157,
75126,
75152,
75130,
75159,
75133,
75145,
75138,
75150,
75137,
75141,
75154,
75118,
75119,
75161,
75149,
75146,
75140,
75142,
75143,
75148,
75167,
75162,
75120,
75125,
75156,
75124,
75134,
75135,
75144,
75132,
75121,
75127,
75139,
75147,
75153,
75160,
75158,
75129,
75122,
75163,
75155,
75136,
4227,Legendary
4107,
4113,Legendary
4113,Snow
4109,
4101,
4172,
4239,Legendary
4151,
4198,Snow
4128,
4112,Legendary
4090,Legendary
4139,Legendary
4190,Snow
4098,Snow
4121,
4124,Snow
4173,Snow
4184,Snow
4234,Snow
4106,Snow
4141,
4178,
4193,
4186,Snow
4188,Snow
4162,
4164,Legendary
4142,
4085,Snow
4224,
4201,
4087,
4088,Snow
4175,Snow
4203,
4216,
4145,
4226,Snow
4214,
4228,Snow
4129,Legendary
4130,
4100,Snow
4146,
4233,
4140,Legendary
4209,
4181,
4225,
4232,
4237,
4199,Legendary
4167,
4116,Snow
4096,Snow
4102,
4110,Snow
4123,
4150,
4179,
4191,
4143,Snow
4147,
4163,
4200,
4108,
4183,Snow
4235,
4105,Snow
4158,
4187,Snow
4236,
4095,
4144,
4126,Snow
4136,
4149,
4170,
4231,
4086,Snow
4131,Snow
4093,
4094,
4148,
4174,
4182,Snow
4211,Snow
4089,
4132,Snow
4161,
4185,
4189,Snow
4122,
4125,Snow
4138,Snow
4210,
4213,
4091,
4114,
4115,
4192,
4212,Snow
4238,Snow
4097,Snow
4159,
4169,
4229,
4230,
4111,
4166,
4104,
4118,
4119,
4135,
4152,
4165,
4180,
4215,
4219,
4222,
4092,
4134,Snow
4154,
4156,
4157,
4196,
4197,
4117,
4137,
4153,Snow
4168,
4171,
4176,Snow
4195,Snow
4202,
4223,
4099,Snow
4103,
4120,
4127,
4133,
4155,
4160,
4221,
4194,
4217,
4220,
4177,
4218,
19393,
19350,Legendary
19345,Legendary
19363,Legendary
19412,
19399,
19338,
19425,
19372,
19328,
19426,
19357,
19421,
19299,
19337,
19407,
19411,
19319,
19381,
19298,
19368,
19417,Legendary
19374,
19413,Legendary
19369,
19300,
19398,
19389,
19294,
19404,
19377,
19335,
19331,
19326,
19358,Legendary
19396,
19313,
19401,
19349,
19400,
19303,
19347,
19424,
19317,
19420,
19311,
19379,
19346,
19367,
19402,
19385,
19301,
19307,
19422,
19359,
19362,
19388,
19353,
19310,
19356,
19403,
19320,
19373,
19423,
19325,
19392,
19292,
19340,
19361,
19342,
19360,
19365,
19405,
19316,
19321,
19322,
19327,
19351,
19383,
19395,
19297,
19341,
19344,
19348,
19355,
19408,
19415,
19304,
19308,
19312,
19323,
19339,
19419,
19306,
19394,
19302,
19354,
19366,
19376,
19384,
19295,
19318,
19336,
19290,
19309,
19291,
19378,
19380,
19387,
19391,
19416,
19418,
19333,
19343,
19397,
19296,
19375,
19390,
19314,
19329,
19414,
19315,
19371,
19409,
19410,
19293,
19305,
19332,
19386,
19324,
19330,
19435,
19434,
19433,
19432,
19480,
19514,
19510,
19509,
19439,
19478,
19440,
19477,
19462,
19516,Legendary
19441,
19491,
19490,
19437,
19501,
19476,
19496,
19444,
19494,
19497,
19438,
19467,
19488,
19481,Legendary
19504,
19503,
19507,
19470,
19473,
19517,
19482,
19486,
19502,
19518,
20483,
19519,
19492,
19442,
19436,
19450,
19449,
19459,
19461,
19469,
19483,
19505,
19464,
19468,
19489,
19506,
19445,
19443,
19487,
19495,
19451,
20482,
19485,
19447,
19465,
19508,
19458,
19457,
19463,
19512,
19446,
19456,
19474,
19484,
19448,
19472,
19475,
19513,
19452,
19454,
19500,
19453,
19455,
19471,
19499,
19602,
19543,
19564,
19622,Legendary
19521,
19569,Legendary
19627,
19606,
19576,
19586,
19618,Legendary
19526,
19648,
19619,
19541,
19654,
19651,
19594,
19578,
19532,
19660,
19546,
19605,
21674,
19632,
19554,
19643,
19523,
19588,
19608,
19580,Legendary
19593,
19614,
19525,
19528,
19624,
19657,
19534,
19634,
19658,
19530,
19567,Legendary
19544,
19645,
19623,
19520,
19590,
19565,
19549,
19522,
19620,
19556,
19557,
19560,
19625,
19535,
19545,
19551,
19552,
19583,
19587,
19601,
19595,
19611,
19616,
19617,
19635,
19644,
19547,
19610,
19630,
19640,
19527,
19531,
19540,
19584,
19597,
19649,
19529,
19589,
19603,
19612,
20484,
19647,
19655,
19656,
19561,
19562,
19558,
19574,
19599,
19631,
19636,
19659,
19538,
19542,
19550,
19570,
19577,
19581,
19629,
19555,
19604,
19607,
19638,
19641,
19650,
19652,
19653,
19537,
19568,
19571,
19598,
19539,
19553,
19572,
19646,
19573,
19591,
19615,
19536,
19548,
19559,
19566,
19575,
19585,
19596,
19609,
19621,
19642,
19524,
19533,
19592,
19628,
19633,
24109,
24110,
24111,Legendary
24112,
24113,
24114,
24115,
24116,
24117,
24118,
19637,
24119,
24120,
77545,
77529,
77519,Legendary
77537,
77523,
77862,
77528,Legendary
77864,
78024,
77540,
77563,
78048,
77508,
77576,Legendary
77728,
78018,
77937,World
77591,
77832,Legendary
78146,
77906,
77511,Legendary
77870,
77541,
77646,Legendary
77572,
78105,Legendary
77740,
77547,Legendary
77663,
77966,
77898,
77833,
78025,Legendary
78102,
77643,
77659,
77977,
78114,
77733,
78046,
77672,
78050,
77619,Legendary
77616,
77880,
77670,
77774,
77845,Legendary
78103,
77965,Legendary
77601,
77608,
77867,
77599,
77495,
77613,
77610,
77614,
77690,
77618,
77623,
77546,
77606,
77751,Legendary
78161,
78101,
77604,
77887,
78020,
78021,
77915,
78253,
78098,
77958,
77533,
77493,
78104,
78115,
77471,
78100,
78116,
77868,
78106,Legendary
77566,
77562,Legendary
77685,
78117,
77883,Legendary
77737,Legendary
77759,
77843,
78119,
77967,
77629,
77531,Legendary
78120,Legendary
77651,
77920,
77808,
78108,
78052,
77516,
78131,
77530,
77532,
78099,
77801,Legendary
77905,
77936,World
77811,
77588,
77770,
78056,
77648,
77928,
78135,
78129,
78022,
77592,
77521,
77889,Legendary
77644,Legendary
77914,Legendary
78134,
77675,
77816,Legendary
78136,Legendary
78028,Legendary
77858,
77879,Legendary
77677,Legendary
77593,
77824,
77896,Legendary
78089,
77882,
77866,
77638,Legendary
77666,
77682,
77668,
77620,Legendary
78110,
78107,
77692,
78128,
78319,
77641,
77975,
77684,
77820,
77515,
77872,
78130,Legendary
78144,
78143,Legendary
78147,Legendary
78149,Legendary
77681,Legendary
77911,Legendary
78152,Legendary
77630,
77978,
77514,Legendary
77664,
77878,
78027,
77527,Legendary
78148,
77746,
77861,
77534,
77964,Legendary
77904,
78159,Legendary
78158,
77753,Legendary
77873,
78151,Legendary
78029,
77542,Legendary
77635,
78111,
78150,Legendary
78057,
78112,Legendary
77729,
77741,
77897,
77539,
77536,
78032,
78061,
78066,Legendary
78164,
78165,
77876,
77822,Legendary
77917,
78030,
77757,Legendary
77776,Legendary
77803,Legendary
77726,
77844,Legendary
77513,
79155,
77846,Legendary
77902,Legendary
77892,Legendary
78026,
78088,
77662,
78320,
78023,Legendary
78166,Legendary
77474,
77582,Legendary
77750,Legendary
77637,
78167,
77885,Legendary
78068,Legendary
78113,
77578,Legendary
77971,Legendary
77972,Legendary
77924,Legendary
77573,
77598,Legendary
78168,
78109,
77886,Legendary
77475,
77908,
77587,Legendary
77524,Legendary
77800,Legendary
77571,Legendary
77501,
77525,
77512,
77480,Legendary
77504,
77859,
77847,
77472,Legendary
77535,
77538,
77575,Legendary
77596,
78019,
78041,
77483,
77467,
77922,
77586,
77935,World
77725,
77631,
77831,Legendary
77903,
78037,Legendary
77865,
77473,
77689,
77828,Legendary
77506,Legendary
77815,Legendary
77929,Legendary
78011,
77642,Legendary
77736,
77570,
77590,
78071,
77819,
77927,
77963,
77687,
77895,
77933,
77901,
77758,
77809,
77840,
77881,
77660,
78001,Legendary
77913,Legendary
77640,
77544,Legendary
77565,Legendary
77669,Legendary
77468,
77839,
77567,
77674,Legendary
78067,
77976,
77617,Legendary
77649,
77561,Legendary
78094,
77543,Legendary
77773,
77798,Legendary
78091,Legendary
77934,
77667,
77731,
77979,
77569,Legendary
77969,Legendary
78033,
77869,
77810,
77909,Legendary
77639,Legendary
77595,Legendary
77817,Legendary
78034,
78070,
77749,
77812,Snow
77771,
77671,
77962,Legendary
77799,Legendary
77957,
77874,
77910,
77769,
77739,Legendary
77813,Legendary
77918,
77974,
77875,Legendary
77585,
77863,
77921,
77621,
77526,Legendary
77970,
77683,
77680,
77634,
77890,Legendary
77482,
77888,Legendary
77973,Legendary
77564,
77907,
77574,
77916,
77647,
78081,
77829,
77679,
78017,
77673,
77686,
77581,Legendary
78054,Legendary
77931,Legendary
77492,
77626,
77650,
77632,
77877,
77821,Legendary
77894,Legendary
78060,
77734,
77834,Legendary
77745,
77678,Legendary
77748,Legendary
77484,
77827,
77814,
78072,
78007,
77756,Legendary
77900,Legendary
78013,Legendary
78059,Legendary
77752,Legendary
77802,Legendary
77836,
77842,
77805,
78044,Legendary
77823,
77665,
77602,
78055,
77609,
77926,
77818,
77628,
77636,
77835,Legendary
77932,
77735,Legendary
77871,
77611,
77912,
78053,
78040,
77991,
77510,
77465,
77891,
77462,
77481,
77589,
78142,
78039,
78009,
77520,
78073,
77754,
77490,
77470,
77464,
77761,
77497,
77994,
77999,
77491,
78087,
77837,
78038,
77960,
78045,
78075,
77997,
78010,
77919,
77476,
78058,
77463,
77583,
77762,
78080,
78064,
77509,
77923,
77488,
78086,
77995,
77767,
19689,
19667,
19692,
19683,
19690,
19661,
19679,
19674,
19685,
19678,
19669,
19681,
19676,
19680,
19691,
19670,
19664,
19671,
19663,
19677,
19682,
19675,
19687,
19662,
19684,
19688,
19665,
19673,
19672,
19668,
19666,
19686,
2038,Legendary
1976,
1986,
1934,
2034,
1974,
1909,
1967,Legendary
1997,
2048,
2045,
2011,Legendary
1928,
1963,Legendary
1979,
2037,Legendary
1945,
1987,
1989,
1980,
2022,
1925,
2047,
2025,
2033,Legendary
1947,
1970,
1952,
1908,
1975,
2024,
2028,
1981,
1996,
1927,
1917,
2035,
2030,
2019,
1978,
2003,
2023,
2032,
1985,
1949,
1962,
2005,
2014,
2031,
2036,
1972,
1993,
2007,
1907,
1936,
1971,
2004,
2042,
2001,
1919,
1959,
1965,
2046,
1958,
1991,
1998,
1922,
1944,
1946,
1990,
1992,
2018,
2020,
2051,
1916,
1937,
2021,
1911,
1988,
1994,
2027,
1923,
2049,
1929,
1930,
1943,
1948,
1924,
1926,
1956,
2015,
2041,
2043,
1914,
1932,
1933,
1964,
1983,
1913,
1969,
1977,
1984,
2008,
2013,
1921,
1939,
2002,
1915,
1957,
1953,
2050,
1940,
1950,
1955,
1961,
1973,
2010,
2044,
1935,
1942,
2000,
2016,
2029,
1912,
1918,
1951,
2039,
1910,
1931,
1960,
2012,
2017,
2026,
1938,
1941,
1954,
1968,
1995,
2040,
1920,
2009,
1966,
1982,
1999,
2006,
19989,
20013,
20077,
20020,
20003,
20080,
20016,
19984,Legendary
20036,
20006,
20075,
20045,
20007,
19998,
20057,Legendary
20065,
20046,
20062,
20086,
20090,
20066,
20067,
19996,Legendary
20010,Legendary
20033,
20035,
20087,
20108,
20082,
20029,
20100,
20021,
20008,Legendary
19986,Legendary
20092,
20061,
20024,
20037,
20096,
20026,Legendary
19993,
20119,
20034,
20160,
20051,
19999,
20088,
20217,
19990,
20059,
20001,
20074,
20083,
20227,
20155,
20085,
20193,
20064,
20093,
20150,
20069,
20190,
20039,
20102,
20224,
20225,
20141,
20078,
20098,
20047,
20000,
20095,
20172,
20183,
20220,
20099,
20031,
20044,
20004,
20097,
20023,
20128,
20204,
20113,
20154,
20050,
20012,
20049,
20115,
19987,
20025,
20143,
20005,
20011,
20018,
20052,
20117,
20162,
20040,
20030,
20232,
19994,
20138,
20076,
20184,
20200,
20015,
20084,
20054,
19995,
20147,
20081,
20121,
20058,
20229,
20032,
20134,
20176,
20215,
20042,
19991,
19992,
20124,
20079,
20028,
20055,
20166,
20056,
20070,
20014,
20222,
20038,
20002,
20149,
20027,
20159,
20164,
20186,
20203,
20048,
20218,
19985,
19988,
20120,
20122,
20043,
20137,
20144,
20158,
20163,
20168,
20171,
20175,
20009,
20185,
20198,
20072,
20214,
20221,
20103,
20111,
20114,
20129,
20135,
20060,
20148,
20153,
20165,
20169,
20173,
20178,
20189,
20073,
20209,
20212,
20213,
20053,
20228,
20231,
20132,
20133,
20068,
20151,
20161,
20101,
20182,
20206,
20223,
20019,
20230,
20116,
20125,
20145,
20180,
20226,
20104,
20118,
20139,
20211,
76083,
76081,
76347,
76765,
73647,Legendary
73643,
76091,
76253,
73626,
77849,
76388,
76741,
76256,
77362,
76352,
76221,
76341,
73634,
73641,
76761,
73637,
73640,
76369,
76351,
76748,Legendary
75944,
73645,
73635,
76224,
76041,
76762,Legendary
76738,
75694,Legendary
76759,Legendary
75637,
75608,
76763,Legendary
