id_karte,subtype
18492,Angel
18492,Spirit
18499,Zombie
18540,
18548,
18535,
18551,Snake
18493,
18515,Insect
18586,
18522,
18537,Human
18537,Assassin
18562,Rat
18534,Human
18534,Soldier
18545,
18501,
18504,Imp
18510,
18519,Ape
18519,Warrior
18530,Jellyfish
18567,Human
18567,Cleric
18569,Spike
18575,Aura
18580,
18495,Pegasus
18497,Spirit
18588,Wall
18556,
18582,
18583,Elephant
18578,
18557,Wurm
18564,Elf
18573,
18489,Specter
18579,
18587,Human
18587,Druid
18516,
18538,
18539,Aura
18533,Merfolk
18572,Spike
18520,
18585,Troll
18546,Human
18546,Wizard
18496,Drake
18521,
18544,Lizard
18554,Human
18554,Cleric
18559,Human
18559,Soldier
18563,
18589,Aura
18590,Efreet
18542,Insect
18527,Elemental
18555,Human
18555,Cleric
18490,Human
18490,Soldier
18490,Scout
18491,Elemental
18523,Human
18523,Soldier
18532,Aura
74742,Bird
74742,Advisor
74780,
74747,Vehicle
74723,Cat
74723,Demon
74730,Nixilis
74774,Plains
74774,Island
74774,Swamp
74761,Forest
74761,Plains
74761,Island
74781,Mountain
74781,Forest
74781,Plains
74783,Equipment
74750,Swamp
74750,Mountain
74750,Forest
74736,Vampire
74736,Demon
74736,Noble
74741,Island
74741,Swamp
74741,Mountain
74745,Human
74745,Warrior
74765,Vivien
74767,Elemental
74751,
74769,
74790,Demon
74790,Dragon
74754,Phyrexian
74754,Praetor
74738,Elspeth
74749,Sphinx
74749,Demon
74752,Nightmare
74752,Angel
74729,Bird
74729,Demon
74294,
74796,Angel
74766,Human
74766,Warrior
74775,Ogre
74775,Rogue
74744,Angel
74744,Soldier
74762,
74801,
74791,
74792,Human
74792,Rogue
74733,Viashino
74733,Warrior
74776,Plant
74776,Dinosaur
74784,Devil
74784,Warrior
74740,Elf
74740,Druid
74724,
74725,Elf
74725,Druid
74743,
74786,Human
74786,Rogue
74739,Pegasus
74758,Vampire
74758,Rogue
74779,
74734,Cat
74734,Rogue
74735,Vehicle
74794,
74728,Cat
74728,Citizen
74732,
74746,
74731,
74770,Viashino
74770,Warrior
74759,
74764,Human
74764,Warrior
74782,Human
74782,Citizen
74793,Avatar
74789,
74772,Elf
74772,Druid
74737,Vehicle
74771,Bird
74771,Assassin
74768,Vehicle
74748,
74797,
74763,Human
74763,Rogue
74785,
74800,
74755,
74726,Vampire
74726,Warrior
74753,Cephalid
74753,Wizard
74798,Avatar
74795,Shapeshifter
74795,Rogue
74760,Ogre
74760,Warrior
74773,
74757,
74788,
74799,
74727,Kraken
74778,Vampire
74778,Rogue
74756,Avatar
74777,Rhino
74777,Warrior
74787,
74293,Elf
74293,Wizard
74297,Treasure
74295,
74296,
75283,Bird
75283,Soldier
75339,Clue
75284,Angel
75284,Advisor
75316,
75295,Bird
75295,Advisor
75305,Ogre
75305,Warrior
75338,Human
75338,Citizen
75306,
75286,Elf
75286,Citizen
75327,Rhino
75327,Warrior
75341,
75340,
75328,Human
75328,Soldier
75297,Cephalid
75297,Rogue
75293,
75285,
75331,
75342,
75354,
75287,
75344,Cat
75344,Advisor
75319,
75329,Vehicle
75308,Human
75308,Rogue
75296,
75353,
75334,
75332,Ogre
75332,Citizen
75298,
75355,Equipment
75289,
75343,Horror
75299,Aura
75315,
75318,
75288,
75345,Human
75345,Warrior
75333,
75307,
75346,
75320,Elemental
75347,
75309,
75301,Equipment
75291,Rhino
75291,Druid
75321,Viashino
75321,Rogue
75310,Human
75310,Warlock
75330,Aura
75348,
75349,Human
75349,Wizard
75335,Human
75335,Soldier
75351,
75312,
75322,
75292,
75350,
75323,Ogre
75323,Warrior
75337,Equipment
75324,
75300,Cephalid
75300,Advisor
75302,Human
75302,Wizard
75290,Bird
75290,Advisor
75303,Bird
75303,Rogue
75356,Vehicle
75294,
75325,Human
75325,Bard
75304,
75352,Phoenix
75326,
75336,
75311,
75313,Rat
75357,Wall
75314,
75317,
73649,Plains
73649,Island
73649,Swamp
73636,Forest
73636,Plains
73636,Island
73905,Bird
73905,Advisor
73651,Swamp
73651,Mountain
73651,Forest
73646,Island
73646,Swamp
73646,Mountain
73644,Mountain
73644,Forest
73644,Plains
74098,Vehicle
73648,Plains
73648,Island
73648,Swamp
73907,Nixilis
73904,Nixilis
74038,Equipment
73910,Phyrexian
73910,Praetor
74265,
73639,Forest
73639,Plains
73639,Island
73633,Swamp
73633,Mountain
73633,Forest
73642,Mountain
73642,Forest
73642,Plains
73628,Island
73628,Swamp
73628,Mountain
74283,Elemental
73930,Elspeth
73944,Vivien
73952,Human
73952,Warrior
73932,Cat
73932,Demon
73942,
73908,Phyrexian
73908,Praetor
73931,Elspeth
74056,
73935,Sphinx
73935,Demon
73940,Vivien
73937,Demon
73937,Dragon
74259,Nightmare
74259,Angel
74171,Ogre
74171,Rogue
74255,Human
74255,Warrior
73934,Vampire
73934,Demon
73934,Noble
74168,Human
74168,Rogue
74422,Angel
74422,Soldier
74423,Angel
74179,
74048,Plant
74048,Dinosaur
74260,
73650,
73933,Bird
73933,Demon
73955,
74170,Avatar
73912,Devil
73912,Warrior
74252,
74107,Elf
74107,Druid
73946,Elf
73946,Druid
74050,Avatar
74055,
74173,Ogre
74173,Warrior
74269,Rhino
74269,Warrior
74364,
74258,Kraken
74188,
74172,
73968,
73906,Human
73906,Warrior
74053,Human
74053,Rogue
74049,
74036,Cephalid
74036,Wizard
74183,Viashino
74183,Warrior
74308,Shapeshifter
74308,Rogue
73957,Vampire
73957,Rogue
74270,Elf
74270,Druid
74278,Human
74278,Citizen
74239,
74257,Vampire
74257,Rogue
74041,Human
74041,Rogue
74034,Cat
74034,Rogue
74281,
74237,Cat
74237,Citizen
74310,
74247,Viashino
74247,Warrior
74174,Bird
74174,Assassin
73899,
74280,Pegasus
74262,Vehicle
74052,
74105,
74031,Vampire
74031,Warrior
74309,
74234,Avatar
74263,
74175,
74177,
73997,
73914,Vehicle
73915,
73897,Vehicle
73766,
74314,Human
74314,Soldier
73653,
73900,
73903,
73901,
73898,
73959,Vampire
73959,Rogue
73949,Bird
73949,Rogue
73902,
74275,Elf
74275,Druid
73799,
73948,
74051,Vampire
74051,Rogue
74272,Human
74272,Warrior
73918,Human
73918,Citizen
74178,Cephalid
74178,Advisor
74176,Angel
74176,Rogue
74110,Elf
74110,Shaman
74187,Rhino
74187,Warrior
74311,Vampire
74311,Rogue
74276,Raccoon
74276,Rogue
74101,Elf
74101,Druid
74101,Rogue
74312,Cat
74312,Citizen
74313,Elf
74313,Shaman
74315,
74317,
74316,
74318,
74319,Vampire
74319,Rogue
74320,Vampire
74320,Rogue
74321,Human
74321,Warrior
74322,Human
74322,Citizen
73941,Elspeth
74323,
74054,Human
74054,Rogue
74325,Vampire
74325,Rogue
74326,Bird
74326,Demon
74324,Elf
74324,Druid
74424,Angel
76174,Vampire
76174,Rogue
74327,
74328,
74331,Cat
74331,Demon
74330,Elf
74330,Druid
76801,Human
76801,Soldier
74336,Vampire
74336,Demon
74336,Noble
74332,
74334,
74335,Vampire
74335,Warrior
74337,Raccoon
74337,Rogue
74338,Rhino
74338,Warrior
74339,Bird
74339,Rogue
73947,Nixilis
74340,
74341,
74273,Cephalid
74273,Wizard
74342,Viashino
74342,Warrior
74343,Cephalid
74343,Advisor
74345,Sphinx
74345,Demon
74344,Elf
74344,Druid
74344,Rogue
74346,Cat
74346,Citizen
74347,
74348,
74350,Elf
74350,Druid
74256,Angel
74256,Soldier
74277,Human
74277,Citizen
74353,Angel
74353,Rogue
74354,Avatar
78220,Cat
78220,Citizen
74261,Human
74261,Warrior
74349,Human
74349,Rogue
74352,
73943,Phyrexian
73943,Praetor
73945,Vivien
74355,
74357,Viashino
74357,Warrior
74356,Demon
74356,Dragon
73857,Bird
73857,Advisor
74096,Vehicle
73609,Plains
73609,Island
73609,Swamp
73602,Mountain
73602,Forest
73602,Plains
73608,Forest
73608,Plains
73608,Island
73615,Swamp
73615,Mountain
73615,Forest
73862,Nixilis
74037,Equipment
73612,Island
73612,Swamp
73612,Mountain
74267,
74282,Elemental
74068,Human
74068,Warrior
73668,Cat
73668,Demon
73859,
73939,
73865,Elspeth
73864,Phyrexian
73864,Praetor
74266,Human
74266,Warrior
73666,Sphinx
73666,Demon
74169,
73938,Vivien
73843,
73667,Vampire
73667,Demon
73667,Noble
74132,Human
74132,Rogue
74141,Ogre
74141,Rogue
74250,
74254,Angel
74254,Soldier
74368,Angel
73858,Demon
73858,Dragon
74140,Nightmare
74140,Angel
73600,
74111,
74046,Plant
74046,Dinosaur
73868,Elf
73868,Druid
73853,Bird
73853,Demon
74167,
74069,
74146,
74251,
73950,
74411,
73860,Devil
73860,Warrior
74043,Ogre
74043,Warrior
74376,Shapeshifter
74376,Rogue
74103,Elf
74103,Druid
74145,Avatar
73967,
73854,Human
73854,Warrior
74268,Rhino
74268,Warrior
75418,
74372,Angel
74372,Cleric
74181,Viashino
74181,Warrior
74410,
74074,Avatar
74186,
73866,
73998,Aura
74077,
74150,Devil
74150,Citizen
73956,Vampire
73956,Rogue
74391,
74128,
74045,
74073,Human
74073,Rogue
74264,
74035,Cephalid
74035,Wizard
74061,Human
74061,Wizard
74060,
74246,Viashino
74246,Warrior
74062,
75419,
73765,
74032,Cat
74032,Rogue
74189,Treasure
74033,Human
74033,Rogue
74164,Human
74164,Citizen
74157,
74147,Vehicle
74129,
74387,Aura
74155,Bird
74155,Assassin
73844,Elf
73844,Wizard
74039,Human
74039,Rogue
74279,
74137,Kraken
74143,Vampire
74143,Rogue
73951,
74235,Cat
74235,Citizen
74238,
74097,Elf
74097,Druid
74375,Treasure
74375,Dog
74180,Cat
74180,Rogue
75417,
74112,
74253,
73971,Human
73971,Citizen
74195,Equipment
73909,Vehicle
73869,
73861,
74359,
74104,
73732,
74161,Pegasus
74414,
74136,Aura
74163,Elf
74163,Druid
74233,Avatar
74131,
74075,
74102,
73954,Vampire
73954,Warrior
73850,
74160,
73847,
73996,
73963,Faerie
73963,Rogue
74388,
73863,Vehicle
74064,
74162,Cephalid
74162,Advisor
74156,Devil
74156,Warrior
73733,
74139,Horror
74193,
73652,
73849,
73798,
74249,Equipment
73958,Vampire
73958,Rogue
74066,Vampire
74066,Rogue
74245,
73845,
74243,Viashino
74243,Rogue
74042,Wall
74076,Vampire
74076,Warlock
74154,Human
74154,Druid
73856,
73852,Treasure
73999,
74396,Equipment
74059,Human
74059,Rogue
74333,Human
74333,Soldier
73964,Cat
73964,Rogue
74159,Angel
74159,Soldier
74114,
73965,
74192,
74106,Human
74106,Druid
73851,
74063,Equipment
74403,Angel
74403,Warrior
74070,Viashino
74070,Shaman
74142,Human
74142,Assassin
73966,Human
73966,Rogue
74399,Human
74399,Citizen
74360,Cephalid
74360,Rogue
74244,Human
74244,Soldier
74113,
74151,Raccoon
74151,Citizen
74194,Human
74194,Warrior
74401,Vehicle
74362,
74095,Elf
74095,Druid
74190,Cat
74190,Citizen
74379,Vampire
74379,Warrior
74367,
74241,
74057,Bird
74057,Rogue
74369,Human
74369,Wizard
74408,
74365,Human
74365,Citizen
74413,Elf
74413,Citizen
74133,Aura
73842,
74378,Equipment
74240,Cat
74240,Warrior
73969,
74370,
73846,
73953,Human
73953,Citizen
74371,
74274,Raccoon
74274,Rogue
74182,Devil
74182,Warrior
74415,Aura
74134,Bird
74134,Citizen
74400,
74382,Viashino
74382,Warrior
74135,Human
74135,Rogue
74040,Cephalid
74040,Rogue
74405,Equipment
74079,Aura
74100,Elf
74100,Druid
74100,Rogue
74386,
74058,Cephalid
74058,Rogue
74421,
74416,Rhino
74416,Soldier
74191,Viashino
74191,Citizen
74078,
74374,
75075,
74933,
74229,Elf
74229,Druid
74228,Elf
74228,Druid
75065,
74924,
74578,Equipment
75108,
74806,
74921,
74656,
74946,Wall
74654,
75064,Rhino
75064,Druid
74942,
74945,Wall
75057,
75083,
74622,
74892,
74835,
74810,Rhino
74810,Druid
74619,
74837,Insect
75013,
75072,
74614,
74873,Elemental
74538,
74955,Human
74955,Warrior
75067,
75018,
74917,
74849,
74565,
74820,
74926,
74604,
74914,
74997,
75098,
75069,
74675,
75085,Ogre
75085,Warrior
74624,
74855,
75066,Bird
75066,Soldier
74891,
74564,
74938,
74862,
74956,Human
74956,Warrior
75091,Sphinx
75091,Rogue
74896,
74302,Vampire
74302,Assassin
74610,
75077,
75071,
74580,
74882,
74888,Arcane
74527,
74651,Elf
74651,Druid
74860,
74596,
75104,
74567,
74864,
74879,
74543,
75106,Equipment
74904,
74911,
75056,Cephalid
75056,Rogue
74826,Snake
74826,Shaman
74889,
75080,Elemental
74575,
74576,
75061,Aura
74817,Ogre
74817,Warrior
74617,
74853,Merfolk
74853,Shaman
74568,Goblin
74568,Wizard
74525,
74842,Golem
74597,Equipment
74934,
74824,
75003,
74639,Human
74639,Cleric
74828,Human
74828,Warrior
74845,Cat
75089,
74807,
74306,Vampire
74306,Assassin
74612,Forest
74612,Plains
74561,
74894,
74886,
74572,
74672,
75053,
74579,
74918,
74581,
74541,
74660,Equipment
74577,
74646,Turtle
74646,Hydra
74832,
74640,Elf
74640,Druid
74872,Construct
74954,Ogre
74954,Devil
74954,Warrior
74984,Zombie
74984,Ninja
74902,
75087,Devil
75087,Rogue
74227,Aura
73913,Vampire
73913,Assassin
74585,
74542,
74598,
74669,
75063,
74868,
75014,Equipment
74865,
74885,Eldrazi
74854,
75092,Human
75092,Citizen
74573,
74866,
74653,
74869,Giant
74664,Human
74664,Druid
74559,Goblin
74992,Kraken
74809,Elemental
74680,Angel
74680,Advisor
74916,
74562,Human
74562,Wizard
75102,Human
75102,Wizard
74632,Swamp
74632,Mountain
74670,Clue
75070,Human
75070,Rogue
74968,Vampire
74968,Ally
74990,Giant
74976,Faerie
74976,Warlock
74545,
74635,Elf
74635,Druid
74595,
74661,Elemental
74878,Insect
74570,
75078,
74831,
74592,Ajani
75011,
74608,
75009,
74816,
74848,Beast
73921,Cat
73921,Bard
73921,Druid
74665,Human
74665,Mutant
74631,
74657,Human
74657,Merfolk
75079,
75062,Elf
75062,Citizen
75093,
74833,Human
74833,Wizard
74682,Human
74682,Soldier
75109,Vehicle
74544,
74633,Island
74633,Swamp
74638,
74231,
74530,
74818,Equipment
74840,Elf
74840,Scout
74908,
74856,Human
74856,Warrior
74949,Rat
74300,
74950,Bird
74950,Soldier
74871,
73911,Cephalid
73911,Rogue
75019,
74642,Ooze
74874,
75086,Vampire
75086,Wizard
73874,Vampire
73874,Assassin
74966,Squid
74966,Horror
74812,Mountain
74812,Forest
74982,Elder
74982,Dragon
74931,Viashino
74931,Rogue
74898,
73873,Devil
73873,Rogue
74652,Angel
75054,Equipment
74586,
75074,
74609,
75107,
73871,Cat
73871,Bard
73871,Druid
74526,Vampire
74526,Wizard
74655,Elf
74655,Druid
75059,Bird
75059,Rogue
74948,Rat
74843,Spider
74851,
75081,
74616,
74814,
75101,
74677,Bird
74677,Advisor
74668,
74893,
74662,Equipment
74637,Spirit
74847,Ogre
74847,Warrior
74821,
74630,Plains
74630,Island
74870,
74684,Cephalid
74684,Advisor
74827,
74303,
74973,Specter
75103,Human
75103,Soldier
74907,
74841,Human
74841,Wizard
74863,Elder
74863,Dinosaur
74890,
74858,
74659,Human
74659,Wizard
74583,
74887,
74932,Viashino
74932,Rogue
74839,Wall
73872,Rhino
73872,Soldier
74558,Phoenix
74687,Bird
74687,Advisor
74641,
74923,
74915,
18599,
18654,Dragon
18638,
18606,
18596,
18620,
18609,
18669,
18673,Aura
18600,
18646,Elf
18646,Druid
18632,
18639,Elf
18639,Druid
18645,
18612,
18648,
18613,
18635,Ape
18614,
18621,
18655,
18649,
18666,
18658,
18659,
18616,
18644,
18615,
18623,Elemental
18664,Minotaur
18664,Berserker
18611,
18637,Leviathan
18647,Goblin
18647,Berserker
18622,Elemental
18641,Djinn
18667,
18674,Spider
18650,Wurm
18656,Horror
18662,
18602,Beast
18618,Angel
18629,
18675,Wurm
18595,Human
18595,Barbarian
18601,Bird
18605,
18660,Drake
18597,Elemental
18627,
18634,Whale
18640,Giant
18594,Elemental
18643,Spider
18607,Rhino
18610,Insect
18671,Drake
18672,Spirit
18626,Crab
18651,Wurm
18657,Imp
18661,
18603,Djinn
18628,Zombie
18636,
18653,Yeti
18604,Elemental
18630,Zombie
18630,Hound
18665,Cyclops
18665,Warrior
18598,Cyclops
18625,Aura
18608,Boar
18619,Nightstalker
18631,Cyclops
18668,Giant
18670,Viashino
18670,Warrior
18617,Djinn
18652,Vampire
18700,
18702,
18684,
18692,
18729,Horror
18745,Elder
18745,Dragon
18707,Human
18707,Warrior
18699,Elder
18699,Dragon
18708,
18682,
18695,
18681,Elder
18681,Dragon
18790,Elder
18790,Dragon
18799,Insect
18799,Wizard
18679,Human
18679,Rogue
22112,Urza’s
22112,Tower
22101,Urza’s
22101,Mine
18747,Elder
18747,Dragon
18756,
22111,Urza’s
22111,Tower
22102,Urza’s
22102,Mine
28053,Urza’s
28053,Mine
18734,
22109,Urza’s
22109,Tower
22104,Urza’s
22104,Mine
22108,Urza’s
22108,Power-Plant
22105,Urza’s
22105,Power-Plant
22106,Urza’s
22106,Power-Plant
22110,Urza’s
22110,Tower
18775,
18739,
18762,
18757,Faerie
22107,Urza’s
22107,Power-Plant
18759,
18680,
18777,
18713,Djinn
18753,
18766,Demon
18686,Giant
18744,Human
18744,Wizard
18772,Demon
18705,
18720,Angel
18733,
20481,Fish
18736,
18761,Shapeshifter
18735,Human
18735,Wizard
18770,
18678,Giant
18678,Soldier
18714,Angel
18748,Sphinx
18752,
18767,Human
18767,Warrior
18715,
18721,
18768,
18791,
18676,Human
18687,Human
18687,Artificer
18690,
18697,Horse
18704,Human
18704,Wizard
18730,
18793,Wall
18800,Demon
18746,
18798,Human
18798,Cleric
18685,
18769,Aura
18724,Goblin
18724,Artificer
18764,Nightstalker
18797,Elephant
18688,Drake
18693,
18696,
18751,Wombat
18763,
18765,Human
18691,Beast
18701,Aura
18738,Human
18738,Cleric
18741,Elf
18741,Warrior
18742,
18749,Ooze
18771,
18794,Wall
18703,Giant
18719,
18773,Human
18773,Advisor
18774,Human
18774,Archer
18796,Wall
18689,Spirit
18698,Cat
18698,Warrior
18712,
18726,Aura
18728,Ogre
18754,
18758,
18760,Human
18677,
18716,Drake
18718,
18732,Giant
18732,Cleric
18795,Wall
18694,Rat
18710,
18717,Aura
18725,Goblin
18731,
18740,
18743,Yeti
18750,Aura
18727,Goblin
18727,Warrior
18755,Human
18776,
18723,Slug
18683,Faerie
18737,Human
18737,Cleric
18792,Wall
18706,Human
18706,Soldier
18706,Archer
18711,Insect
19960,Ogre
18903,
18917,
18846,Equipment
18941,Human
18941,Cleric
18925,
19047,
18860,
18932,
18819,
19033,Equipment
18818,
19010,
18950,
18812,Elemental
18862,Gorgon
18862,Wizard
18949,Equipment
18841,
19007,Human
19007,Wizard
18994,
18853,
18909,Garruk
18964,Human
18964,Cleric
18808,
19054,Angel
18990,
18811,Incarnation
18928,
18886,Human
18886,Shaman
19009,Giant
19009,Warrior
19005,Homunculus
19059,Ooze
19092,
19095,Kraken
19045,
18958,
18953,Human
18953,Wizard
19032,Zombie
19032,Elemental
18910,Fungus
18910,Shaman
18983,
18931,Hydra
18877,Demon
18959,
18883,Elf
18883,Rogue
18802,
18836,
19062,Leviathan
18911,
18879,Spirit
18942,Centaur
18942,Spirit
18822,Avatar
18872,
18847,
18895,
19073,
18976,
19056,Dragon
18820,
18823,Avatar
18829,Angel
18963,Lhurgoyf
18824,
19000,
19087,Wall
18929,
19016,Specter
18944,Arcane
18973,Dragon
18933,Dragon
18915,
19001,Demon
18881,Dwarf
18881,Shaman
19021,
19023,Horror
18898,
19091,Spirit
19036,
18833,
19037,Golem
18832,Zombie
18832,Dragon
18810,Angel
18926,Insect
19041,Spike
18882,
18955,Dragon
19025,Angel
18809,Angel
18889,
18989,Aura
19012,Snake
19012,Shaman
19097,Minotaur
19097,Monk
18807,Angel
18874,Spirit
18874,Avatar
18927,
19080,Dragon
19077,
18939,
18844,Elemental
18937,
19015,Ooze
19052,
18837,
18870,
18856,
18861,
19072,Vampire
18971,Vedalken
18971,Wizard
18815,Angel
18996,
19050,Wurm
19058,
18817,Eldrazi
18855,
18893,Human
18893,Cleric
18956,
18974,
19093,Incarnation
19057,
18919,
18954,Demon
18954,Dragon
18979,Dragon
18952,Elemental
18840,Giant
18840,Warrior
18891,
18965,Elemental
19074,
18982,
18838,Incarnation
18897,Elf
18805,
19069,Vedalken
19069,Wizard
19078,
18899,
18842,Vampire
18842,Warrior
18864,
18904,Wall
19053,Vampire
18957,
19030,
19039,Elemental
19075,
18806,
19028,
18986,
19060,
18905,
18940,
18845,
18923,
18984,Spirit
19040,
19046,
19026,Elemental
18821,Avatar
18865,Spider
19006,
18885,Elf
18885,Mutant
18912,Goblin
19027,Rhino
19027,Soldier
19065,Troll
19065,Shaman
19088,Wall
18947,Lhurgoyf
18962,
18980,
18997,Eldrazi
18997,Drone
19014,
19024,
19090,
18924,
18970,Rat
18970,Wizard
18868,
18907,
18921,Jellyfish
18930,
18948,Angel
18951,
18995,
19004,
19071,Human
19071,Soldier
19071,Scout
19084,Aura
18814,Giant
18814,Wizard
18826,Vedalken
18826,Wizard
18871,
18988,
18992,
19034,
19068,Vampire
19068,Shaman
19086,Plant
19086,Zombie
18839,
18850,Crab
18850,Beast
18875,
18906,
18975,
18993,
19020,
19043,Human
19043,Nomad
19061,
19066,
19079,Angel
18878,
18934,
18936,Human
18936,Wizard
22137,Giant
22137,Soldier
18967,Zombie
18967,Insect
18987,Elemental
19031,Leviathan
19067,Beast
19085,Aura
18873,
18977,Demon
18977,Spirit
19048,
19051,
18945,Boar
18945,Beast
18863,Horror
18888,
18894,Elemental
19003,
19013,
19017,
19083,Aura
19096,Human
19096,Druid
18813,Spider
18813,Mutant
19042,Elemental
19044,Monger
19081,Aura
18843,
18852,Trap
18961,Human
18961,Monk
18961,Cleric
18966,Arcane
19011,
19064,Construct
18803,Elemental
18831,
18848,Cat
18848,Beast
18851,
18922,Hag
18922,Wizard
19169,
19128,
19143,
19281,Zombie
19182,
19221,
19152,
19234,
19163,
19212,Zombie
19159,Elemental
19159,Shaman
19247,Zombie
19247,Cleric
19114,
19283,
19166,
19245,
19258,Zombie
19258,Avatar
19109,Spirit
19109,Horror
19139,Zombie
19139,Wizard
19193,Swamp
19138,Myr
19233,
19144,Zombie
19144,Wizard
19200,Equipment
19148,Dwarf
19148,Shaman
19257,Human
19257,Cleric
19145,
19104,Juggernaut
19183,Myr
19188,
19175,Zombie
19175,Giant
19165,
19225,Aura
19102,
19151,
19238,Zombie
19238,Rat
19278,
19263,
19171,
19178,
19202,Vedalken
19202,Wizard
19195,
19120,
19196,Elemental
19196,Insect
19265,Shapeshifter
19201,Equipment
19142,
19162,Elemental
19231,Angel
19107,Vampire
19192,Myr
19158,
19208,Myr
19140,Equipment
19125,Beast
19126,
19199,Equipment
19180,
19101,
19112,
19260,
19279,
19105,Slith
19286,Elemental
19288,Zombie
19288,Cleric
19167,Myr
19229,
19198,Myr
19244,
19284,Vedalken
19284,Artificer
19250,Myr
19132,Beast
19181,
19219,
19222,Zombie
19252,
19277,Elemental
19118,
19236,
19237,Dragon
19136,
19103,
19115,
19146,
19154,Aura
19174,Goblin
19174,Soldier
19211,Zombie
19211,Mutant
19214,
19255,Elemental
19255,Shaman
19108,
19173,
19241,Myr
19249,
19261,Myr
19268,
19122,Golem
19141,
19216,
19232,
19254,Insect
19119,Human
19119,Wizard
19130,
19137,
19160,Kavu
19213,
