id_karte,cardtype
74293,Creature
74297,Artifact
74295,Sorcery
74296,Sorcery
75283,Creature
75339,Artifact
75284,Creature
75316,Instant
75295,Creature
75305,Creature
75338,Creature
75306,Instant
75286,Creature
75327,Creature
75341,Instant
75340,Sorcery
75328,Creature
75297,Creature
75293,Instant
75285,Instant
75331,Instant
75342,Enchantment
75354,Artifact
75287,Sorcery
75344,Creature
75319,Enchantment
75329,Artifact
75308,Creature
75296,Enchantment
75353,Artifact
75334,Enchantment
75332,Creature
75298,Sorcery
75355,Artifact
75289,Instant
75343,Creature
75299,Enchantment
75315,Sorcery
75318,Enchantment
75288,Sorcery
75345,Creature
75333,Enchantment
75307,Instant
75346,Enchantment
75320,Creature
75347,Sorcery
75309,Sorcery
75301,Artifact
75291,Creature
75321,Creature
75310,Creature
75330,Enchantment
75348,Instant
75349,Creature
75335,Creature
75351,Enchantment
75312,Enchantment
75322,Enchantment
75292,Enchantment
75350,Sorcery
75323,Creature
75337,Artifact
75324,Sorcery
75300,Creature
75302,Creature
75290,Creature
75303,Creature
75356,Artifact
75294,Enchantment
75325,Creature
75304,Instant
75352,Creature
75326,Enchantment
75336,Sorcery
75311,Instant
75313,Creature
75357,Artifact
75357,Creature
75314,Sorcery
75317,Sorcery
73649,Land
73636,Land
73905,Creature
73651,Land
73646,Land
73644,Land
74098,Artifact
73648,Land
73907,Planeswalker
73904,Planeswalker
74038,Artifact
73910,Creature
74265,Artifact
73639,Land
73633,Land
73642,Land
73628,Land
74283,Creature
73930,Planeswalker
73944,Planeswalker
73952,Creature
73932,Creature
73942,Artifact
73908,Creature
73931,Planeswalker
74056,Enchantment
73935,Creature
73940,Planeswalker
73937,Creature
74259,Creature
74171,Creature
74255,Creature
73934,Creature
74168,Creature
74422,Creature
74423,Creature
74179,Instant
74048,Creature
74260,Enchantment
73650,Enchantment
73933,Creature
73955,Enchantment
74170,Creature
73912,Creature
74252,Instant
74107,Creature
73946,Creature
74050,Creature
74055,Sorcery
74173,Creature
74269,Creature
74364,Sorcery
74258,Creature
74188,Enchantment
74172,Enchantment
73968,Sorcery
73906,Creature
74053,Creature
74049,Enchantment
74036,Creature
74183,Creature
74308,Creature
73957,Creature
74270,Creature
74278,Creature
74239,Instant
74257,Creature
74041,Creature
74034,Creature
74281,Sorcery
74237,Creature
74310,Enchantment
74247,Creature
74174,Creature
73899,Sorcery
74280,Creature
74262,Artifact
74052,Sorcery
74105,Sorcery
74031,Creature
74309,Sorcery
74234,Creature
74263,Enchantment
74175,Enchantment
74177,Instant
73997,Artifact
73914,Artifact
73915,Enchantment
73897,Artifact
73766,Instant
74314,Creature
73653,Instant
73900,Land
73903,Land
73901,Land
73898,Land
73959,Creature
73949,Creature
73902,Land
74275,Creature
73799,Instant
73948,Instant
74051,Creature
74272,Creature
73918,Creature
74178,Creature
74176,Creature
74110,Creature
74187,Creature
74311,Creature
74276,Creature
74101,Creature
74312,Creature
74313,Creature
74315,Enchantment
74317,Instant
74316,Enchantment
74318,Instant
74319,Creature
74320,Creature
74321,Creature
74322,Creature
73941,Planeswalker
74323,Instant
74054,Creature
74325,Creature
74326,Creature
74324,Creature
74424,Creature
76174,Creature
74327,Sorcery
74328,Sorcery
74331,Creature
74330,Creature
76801,Creature
74336,Creature
74332,Enchantment
74334,Instant
74335,Creature
74337,Creature
74338,Creature
74339,Creature
73947,Planeswalker
74340,Enchantment
74341,Instant
74273,Creature
74342,Creature
74343,Creature
74345,Creature
74344,Creature
74346,Creature
74347,Enchantment
74348,Instant
74350,Creature
74256,Creature
74277,Creature
74353,Creature
74354,Creature
78220,Creature
74261,Creature
74349,Creature
74352,Instant
73943,Creature
73945,Planeswalker
74355,Instant
74357,Creature
74356,Creature
73857,Creature
74096,Artifact
73609,Land
73602,Land
73608,Land
73615,Land
73862,Planeswalker
74037,Artifact
73612,Land
74267,Artifact
74282,Creature
74068,Creature
73668,Creature
73859,Artifact
73939,Enchantment
73865,Planeswalker
73864,Creature
74266,Creature
73666,Creature
74169,Instant
73938,Planeswalker
73843,Instant
73667,Creature
74132,Creature
74141,Creature
74250,Instant
74254,Creature
74368,Creature
73858,Creature
74140,Creature
73600,Enchantment
74111,Enchantment
74046,Creature
73868,Creature
73853,Creature
74167,Instant
74069,Enchantment
74146,Instant
74251,Instant
73950,Land
74411,Land
73860,Creature
74043,Creature
74376,Creature
74103,Creature
74145,Creature
73967,Sorcery
73854,Creature
74268,Creature
74372,Creature
74181,Creature
74410,Land
74074,Creature
74186,Enchantment
73866,Sorcery
73998,Enchantment
74077,Sorcery
74150,Creature
73956,Creature
74391,Sorcery
74128,Land
74045,Enchantment
74073,Creature
74264,Enchantment
74035,Creature
74061,Creature
74060,Instant
74246,Creature
74062,Enchantment
73765,Instant
74032,Creature
74189,Artifact
74033,Creature
74164,Creature
74157,Enchantment
74147,Artifact
74129,Land
74387,Enchantment
74155,Creature
73844,Creature
74039,Creature
74279,Sorcery
74137,Creature
74143,Creature
73951,Instant
74235,Creature
74238,Instant
74097,Creature
74375,Artifact
74375,Creature
74180,Creature
74112,Enchantment
74253,Sorcery
73971,Creature
74195,Artifact
73909,Artifact
73869,Sorcery
73861,Enchantment
74359,Instant
74104,Sorcery
73732,Instant
74161,Creature
74414,Instant
74136,Enchantment
74163,Creature
74233,Creature
74131,Instant
74075,Sorcery
74102,Sorcery
73954,Creature
73850,Instant
74160,Enchantment
73847,Land
73996,Artifact
73963,Creature
74388,Instant
73863,Artifact
74064,Sorcery
74162,Creature
74156,Creature
73733,Instant
74139,Creature
74193,Sorcery
73652,Instant
73849,Land
73798,Instant
74249,Artifact
73958,Creature
74066,Creature
74245,Sorcery
73845,Land
74243,Creature
74042,Artifact
74042,Creature
74076,Creature
74154,Creature
73856,Instant
73852,Artifact
73999,Instant
74396,Artifact
74059,Creature
74333,Creature
73964,Creature
74159,Creature
74114,Instant
73965,Sorcery
74192,Sorcery
74106,Creature
73851,Land
74063,Artifact
74403,Artifact
74403,Creature
74070,Creature
74142,Creature
73966,Creature
74399,Creature
74360,Creature
74244,Creature
74113,Sorcery
74151,Creature
74194,Creature
74401,Artifact
74362,Instant
74095,Creature
74190,Creature
74379,Creature
74367,Instant
74241,Instant
74057,Creature
74369,Creature
74408,Instant
74365,Creature
74413,Creature
74133,Enchantment
73842,Sorcery
74378,Artifact
74240,Creature
73969,Sorcery
74370,Instant
73846,Sorcery
73953,Creature
74371,Instant
74274,Creature
74182,Creature
74415,Enchantment
74134,Creature
74400,Artifact
74382,Creature
74135,Creature
74040,Creature
74405,Artifact
74079,Enchantment
74100,Creature
74386,Sorcery
74058,Creature
74421,Instant
74416,Creature
74191,Creature
74078,Sorcery
74374,Instant
75075,Enchantment
74933,Enchantment
74229,Creature
74228,Creature
75065,Instant
74924,Enchantment
74578,Artifact
75108,Artifact
74806,Instant
74921,Enchantment
74656,Enchantment
74946,Artifact
74946,Creature
74654,Enchantment
75064,Creature
74942,Artifact
74945,Artifact
74945,Creature
75057,Enchantment
75083,Sorcery
74622,Land
74892,Enchantment
74835,Land
74810,Creature
74619,Land
74837,Creature
75013,Artifact
75072,Instant
74614,Land
74873,Creature
74538,Enchantment
74955,Creature
75067,Sorcery
75018,Land
74917,Land
74849,Instant
74565,Sorcery
74820,Sorcery
74926,Sorcery
74604,Instant
74914,Enchantment
74997,Instant
75098,Enchantment
75069,Instant
74675,Sorcery
75085,Creature
74624,Land
74855,Instant
75066,Creature
74891,Enchantment
74564,Artifact
74938,Instant
74862,Sorcery
74956,Creature
75091,Creature
74896,Enchantment
74302,Creature
74610,Sorcery
75077,Enchantment
75071,Sorcery
74580,Artifact
74882,Artifact
74888,Sorcery
74527,Instant
74651,Creature
74860,Instant
74596,Artifact
74567,Instant
74864,Instant
74879,Instant
74543,Instant
75106,Artifact
74904,Land
74911,Enchantment
75056,Creature
74826,Creature
74889,Enchantment
75080,Creature
74575,Artifact
74576,Artifact
75061,Enchantment
74817,Creature
74617,Land
74853,Creature
74568,Creature
74525,Enchantment
74842,Artifact
74842,Creature
74597,Artifact
74934,Enchantment
74824,Land
75003,Sorcery
74639,Creature
74828,Creature
74845,Creature
75089,Enchantment
74807,Sorcery
74306,Creature
74612,Land
74561,Instant
74894,Enchantment
74886,Artifact
74572,Artifact
74672,Instant
75053,Instant
74579,Artifact
74918,Enchantment
74581,Artifact
74541,Sorcery
74660,Artifact
74577,Artifact
74646,Creature
74832,Land
74640,Creature
74872,Artifact
74872,Creature
74954,Creature
74984,Creature
74902,Sorcery
75087,Creature
74227,Enchantment
73913,Creature
74585,Land
74542,Instant
74598,Artifact
74669,Instant
75063,Sorcery
74868,Instant
75014,Artifact
74865,Sorcery
74885,Creature
74854,Instant
75092,Creature
74573,Sorcery
74866,Sorcery
74653,Enchantment
74869,Creature
74664,Creature
74559,Creature
74992,Creature
74809,Creature
74680,Creature
74916,Enchantment
74562,Creature
75102,Creature
74632,Land
74670,Artifact
75070,Creature
74968,Creature
74990,Creature
74976,Creature
74545,Sorcery
74635,Creature
74595,Artifact
74661,Creature
74878,Creature
74570,Sorcery
75078,Sorcery
74831,Land
74592,Planeswalker
75011,Artifact
74608,Sorcery
75009,Artifact
74816,Land
74848,Creature
73921,Creature
74665,Creature
74631,Land
74657,Creature
75079,Sorcery
75062,Creature
75093,Enchantment
74833,Creature
74682,Creature
75109,Artifact
74544,Sorcery
74633,Land
74638,Land
74231,Artifact
74530,Sorcery
74818,Artifact
74840,Creature
74908,Land
74856,Creature
74949,Creature
74300,Artifact
74950,Creature
74871,Sorcery
73911,Creature
75019,Land
74642,Creature
74874,Instant
75086,Creature
73874,Creature
74966,Creature
74812,Land
74982,Creature
74931,Creature
74898,Enchantment
73873,Creature
74652,Creature
75054,Artifact
74586,Land
75074,Sorcery
74609,Land
75107,Artifact
73871,Creature
74526,Creature
74655,Creature
75059,Creature
74948,Creature
74843,Enchantment
74843,Creature
74851,Instant
75081,Instant
74616,Land
74814,Land
75101,Sorcery
74677,Creature
74668,Instant
74893,Enchantment
74662,Artifact
74637,Creature
74847,Creature
74821,Land
74630,Land
74870,Sorcery
74684,Creature
74827,Land
74303,Sorcery
74973,Creature
75103,Creature
74907,Land
74841,Creature
74863,Creature
74890,Enchantment
74858,Sorcery
74659,Creature
74583,Land
74887,Enchantment
74932,Creature
74839,Creature
73872,Creature
74558,Creature
74687,Creature
74641,Land
74923,Land
74915,Instant
18599,Instant
18654,Creature
18638,Instant
18606,Instant
18620,Sorcery
18609,Instant
18669,Instant
18673,Enchantment
18600,Instant
18646,Creature
18632,Instant
18639,Creature
18645,Instant
18612,Instant
18648,Sorcery
18613,Sorcery
18635,Creature
18614,Sorcery
18621,Instant
18655,Instant
18649,Land
18666,Instant
18658,Land
18659,Land
18616,Land
18644,Land
18615,Land
18623,Creature
18664,Creature
18611,Sorcery
18637,Creature
18647,Creature
18622,Creature
18641,Creature
18667,Instant
18674,Creature
18650,Creature
18656,Creature
18662,Land
18602,Artifact
18602,Creature
18618,Creature
18629,Land
18675,Creature
18595,Creature
18601,Artifact
18601,Creature
18605,Sorcery
18660,Creature
18597,Creature
18627,Instant
18634,Creature
18640,Creature
18594,Creature
18643,Creature
18607,Creature
18610,Creature
18671,Creature
18672,Creature
18626,Creature
18651,Creature
18657,Creature
18661,Instant
18603,Creature
18628,Creature
18636,Sorcery
18653,Creature
18604,Creature
18630,Creature
18665,Creature
18598,Creature
18625,Enchantment
18608,Creature
18619,Creature
18631,Creature
18668,Creature
18670,Creature
18617,Creature
18652,Creature
18700,Land
18702,Enchantment
18684,Artifact
18692,Enchantment
18729,Creature
18745,Creature
18707,Creature
18699,Creature
18708,Enchantment
18682,Artifact
18695,Artifact
18681,Creature
18790,Creature
18799,Creature
18679,Creature
22112,Land
22101,Land
18747,Creature
18756,Enchantment
22111,Land
22102,Land
28053,Land
18734,Artifact
22109,Land
22104,Land
22108,Land
22105,Land
22106,Land
22110,Land
18775,Artifact
18739,Enchantment
18762,Artifact
18757,Creature
22107,Land
18759,Land
18680,Enchantment
18777,Artifact
18713,Creature
18753,Sorcery
18766,Creature
18686,Creature
18744,Creature
18772,Creature
18705,Enchantment
18720,Creature
18733,Artifact
20481,Creature
18736,Sorcery
18761,Artifact
18761,Creature
18735,Creature
18770,Instant
18678,Creature
18714,Creature
18748,Creature
18752,Artifact
18767,Creature
18715,Artifact
18721,Artifact
18768,Instant
18791,Artifact
18676,Creature
18687,Creature
18690,Artifact
18697,Artifact
18697,Creature
18704,Creature
18730,Artifact
18793,Creature
18800,Creature
18746,Artifact
18798,Creature
18685,Artifact
18769,Enchantment
18724,Creature
18764,Creature
18797,Creature
18688,Creature
18693,Instant
18696,Instant
18751,Creature
18763,Instant
18765,Creature
18691,Creature
18701,Enchantment
18738,Creature
18741,Creature
18742,Sorcery
18749,Creature
18794,Creature
18703,Creature
18719,Artifact
18773,Creature
18774,Creature
18796,Creature
18689,Creature
18698,Creature
18712,Instant
18726,Enchantment
18728,Creature
18754,Instant
18758,Artifact
18760,Creature
18677,Instant
18716,Creature
18718,Instant
18732,Creature
18795,Creature
18694,Creature
18710,Instant
18717,Enchantment
18725,Creature
18731,Instant
18740,Artifact
18743,Creature
18750,Enchantment
18727,Creature
18755,Creature
18776,Instant
18723,Creature
18683,Creature
18737,Creature
18792,Creature
18706,Creature
18711,Creature
19960,Creature
18903,Instant
18917,Enchantment
18846,Artifact
18941,Creature
18925,Land
19047,Enchantment
18860,Enchantment
18932,Sorcery
18819,Enchantment
19033,Artifact
18818,Enchantment
19010,Sorcery
18950,Sorcery
18812,Creature
18862,Creature
18949,Artifact
18841,Sorcery
19007,Creature
18994,Enchantment
18853,Sorcery
18909,Planeswalker
18964,Creature
18808,Sorcery
19054,Creature
18990,Enchantment
18811,Creature
18928,Artifact
18886,Creature
19009,Creature
19005,Creature
19059,Creature
19092,Sorcery
19095,Creature
19045,Sorcery
18958,Enchantment
18953,Creature
19032,Creature
18910,Creature
18983,Instant
18931,Creature
18877,Creature
18959,Sorcery
18883,Creature
18802,Artifact
18836,Artifact
19062,Creature
18911,Enchantment
18879,Creature
18942,Creature
18822,Creature
18872,Artifact
18847,Instant
18895,Artifact
19073,Instant
18976,Artifact
19056,Creature
18820,Sorcery
18823,Creature
18829,Creature
18963,Creature
18824,Enchantment
19000,Instant
19087,Creature
18929,Sorcery
19016,Creature
18944,Sorcery
18973,Creature
18933,Creature
18915,Artifact
19001,Creature
18881,Creature
19021,Artifact
19023,Creature
18898,Instant
19091,Creature
19036,Artifact
18833,Land
19037,Artifact
19037,Creature
18832,Creature
18810,Creature
18926,Creature
19041,Creature
18882,Sorcery
18955,Creature
19025,Creature
18809,Creature
18889,Sorcery
18989,Enchantment
19012,Creature
19097,Creature
18807,Creature
18874,Creature
18927,Sorcery
19080,Creature
19077,Land
18939,Enchantment
18844,Creature
18937,Artifact
19015,Creature
19052,Sorcery
18837,Instant
18870,Sorcery
18856,Land
18861,Sorcery
19072,Creature
18971,Creature
18815,Creature
18996,Artifact
19050,Creature
19058,Land
18817,Creature
18855,Instant
18893,Creature
18956,Enchantment
18974,Instant
19093,Creature
19057,Instant
18919,Artifact
18954,Creature
18979,Creature
18952,Creature
18840,Creature
18891,Instant
18965,Creature
19074,Land
18982,Artifact
18838,Creature
18897,Creature
18805,Land
19069,Creature
19078,Land
18899,Sorcery
18842,Creature
18864,Artifact
18904,Creature
19053,Creature
18957,Instant
19030,Artifact
19039,Creature
19075,Land
18806,Sorcery
19028,Sorcery
18986,Instant
19060,Sorcery
18905,Instant
18940,Land
18845,Sorcery
18923,Sorcery
18984,Creature
19040,Instant
19046,Sorcery
19026,Creature
18821,Creature
18865,Creature
19006,Enchantment
18885,Creature
18912,Creature
19027,Creature
19065,Creature
19088,Creature
18947,Creature
18962,Instant
18980,Land
18997,Creature
19014,Instant
19024,Sorcery
19090,Instant
18924,Sorcery
18970,Creature
18868,Sorcery
18907,Land
18921,Creature
18930,Instant
18948,Creature
18951,Land
18995,Land
19004,Instant
19071,Creature
19084,Enchantment
18814,Creature
18826,Creature
18871,Land
18988,Instant
18992,Artifact
19034,Sorcery
19068,Creature
19086,Creature
18839,Sorcery
18850,Creature
18875,Instant
18906,Land
18975,Enchantment
18993,Instant
19020,Land
19043,Creature
19061,Land
19066,Sorcery
19079,Creature
18878,Land
18934,Instant
18936,Creature
22137,Creature
18967,Creature
18987,Creature
19031,Creature
19067,Creature
19085,Enchantment
18873,Sorcery
18977,Creature
19048,Instant
19051,Sorcery
18945,Creature
18863,Creature
18888,Land
18894,Creature
19003,Instant
19013,Sorcery
19017,Land
19083,Enchantment
19096,Creature
18813,Creature
19042,Creature
19044,Creature
19081,Enchantment
18843,Sorcery
18852,Instant
18961,Creature
18966,Instant
19011,Land
19064,Artifact
19064,Creature
18803,Creature
18831,Sorcery
18848,Creature
18851,Instant
18922,Creature
19169,Enchantment
19128,Land
19143,Artifact
19281,Creature
19182,Sorcery
19221,Enchantment
19152,Sorcery
19234,Artifact
19163,Enchantment
19212,Creature
19159,Creature
19247,Creature
19114,Sorcery
19283,Artifact
19283,Land
19166,Sorcery
19245,Artifact
19245,Land
19258,Creature
19109,Creature
19139,Creature
19193,Land
19138,Artifact
19138,Creature
19233,Sorcery
19144,Creature
19200,Artifact
19148,Creature
19257,Creature
19145,Artifact
19104,Artifact
19104,Creature
19183,Artifact
19183,Creature
19188,Instant
19175,Creature
19165,Enchantment
19225,Enchantment
19102,Artifact
19102,Land
19151,Sorcery
19238,Creature
19278,Artifact
19278,Land
19263,Sorcery
19171,Artifact
19171,Land
19178,Sorcery
19202,Artifact
19202,Creature
19195,Instant
19120,Artifact
19196,Creature
19265,Creature
19201,Artifact
19142,Instant
19162,Creature
19231,Creature
19107,Creature
19192,Artifact
19192,Creature
19158,Enchantment
19208,Artifact
19208,Creature
19140,Artifact
19125,Creature
19126,Sorcery
19199,Artifact
19180,Sorcery
19101,Sorcery
19112,Sorcery
19260,Land
19279,Instant
19105,Artifact
19105,Creature
19286,Creature
19288,Creature
19167,Artifact
19167,Creature
19229,Sorcery
19198,Artifact
19198,Creature
19244,Sorcery
19284,Creature
19250,Artifact
19250,Creature
19132,Creature
19181,Sorcery
19219,Artifact
19222,Creature
19252,Artifact
19277,Creature
19118,Land
19236,Sorcery
19237,Creature
19136,Instant
19103,Sorcery
19115,Sorcery
19146,Instant
19154,Enchantment
19174,Creature
19211,Creature
19214,Enchantment
19255,Creature
19108,Sorcery
19173,Land
19241,Artifact
19241,Creature
19249,Land
19261,Artifact
19261,Creature
19268,Land
19122,Artifact
19122,Creature
19141,Instant
19216,Instant
19232,Sorcery
19254,Artifact
19254,Creature
19119,Creature
19130,Instant
19137,Sorcery
19160,Creature
19213,Artifact
19226,Sorcery
19276,Instant
19124,Creature
19220,Artifact
19220,Creature
19235,Creature
19242,Sorcery
19246,Artifact
19264,Sorcery
19289,Artifact
19289,Creature
19186,Creature
19121,Creature
19147,Creature
19156,Creature
19106,Artifact
19106,Creature
19123,Instant
19203,Creature
19215,Instant
19251,Creature
19111,Creature
19176,Instant
19227,Sorcery
19129,Creature
19170,Creature
19155,Creature
19239,Creature
19127,Creature
19116,Creature
19117,Creature
19133,Creature
19135,Sorcery
19150,Artifact
19150,Creature
19189,Creature
19287,Instant
19113,Sorcery
19228,Creature
19190,Creature
75123,Instant
75131,Instant
75151,Creature
75128,Instant
75157,Creature
75126,Instant
75152,Creature
75130,Enchantment
75159,Creature
75133,Sorcery
75145,Creature
75138,Creature
75150,Instant
75137,Creature
75141,Enchantment
75154,Instant
75118,Instant
75119,Creature
75161,Artifact
75149,Instant
75146,Creature
75140,Instant
75142,Creature
75143,Creature
75148,Sorcery
75167,Artifact
75162,Artifact
75120,Creature
75125,Instant
75156,Creature
75124,Enchantment
75134,Enchantment
75135,Creature
75144,Creature
75132,Creature
75121,Instant
75127,Enchantment
75139,Creature
75147,Creature
75153,Creature
75160,Enchantment
75158,Creature
75129,Enchantment
75122,Enchantment
75163,Artifact
75155,Creature
75136,Creature
4227,Artifact
4107,Instant
4113,Land
4109,Enchantment
4101,Enchantment
4172,Artifact
4239,Creature
4151,Creature
4198,Land
4128,Sorcery
4112,Creature
4090,Creature
4139,Creature
4190,Creature
4098,Creature
4121,Creature
4124,Land
4173,Land
4184,Artifact
4184,Creature
4234,Creature
4106,Artifact
4141,Creature
4178,Creature
4193,Sorcery
4186,Enchantment
4188,Creature
4162,Creature
4164,Creature
4142,Enchantment
4085,Creature
4224,Creature
4201,Creature
4087,Creature
4088,Land
4175,Creature
4203,Instant
4216,Sorcery
4145,Sorcery
4226,Creature
4214,Creature
4228,Land
4129,Creature
4130,Creature
4100,Land
4146,Artifact
4233,Creature
4140,Creature
4209,Instant
4181,Enchantment
4225,Instant
4232,Creature
4237,Creature
4199,Creature
4167,Creature
4116,Creature
4096,Creature
4102,Creature
4110,Enchantment
4123,Enchantment
4150,Creature
4179,Instant
4191,Creature
4143,Land
4147,Creature
4163,Instant
4200,Enchantment
4108,Instant
4183,Artifact
4183,Creature
4235,Creature
4105,Creature
4158,Creature
4187,Creature
4236,Creature
4095,Creature
4144,Sorcery
4126,Creature
4136,Instant
4149,Creature
4170,Creature
4231,Instant
4086,Creature
4131,Enchantment
4093,Creature
4094,Instant
4148,Creature
4174,Instant
4182,Artifact
4182,Creature
4211,Creature
4089,Creature
4132,Enchantment
4161,Enchantment
4185,Instant
4189,Creature
4122,Instant
4125,Creature
4138,Creature
4210,Sorcery
4213,Creature
4091,Creature
4114,Sorcery
4115,Creature
4192,Creature
4212,Creature
4238,Creature
4097,Creature
4159,Instant
4169,Creature
4229,Creature
4230,Creature
4111,Sorcery
4166,Enchantment
4104,Instant
4118,Creature
